Volume,Energy
243.15042494009762,-417.73519103
244.72590997399848,-417.75472641
246.30818186768482,-417.77352867
247.8972554396277,-417.79158207
249.49316032676944,-417.80901432
251.09589652911006,-417.82572623
252.7054788651207,-417.84179381
254.32192215327248,-417.85724641
255.94525603050772,-417.87214879
257.57548049682646,-417.88629487
260.85664565212767,-417.91286485
262.5076307965236,-417.92522032
264.16558062235873,-417.93697158
265.8304803111619,-417.94812185
267.50235949987547,-417.95881697
269.18124782544163,-417.96884803
270.8671304693893,-417.97841778
272.56005188713186,-417.98745695
274.2599972601982,-417.99584141
275.9670110440018,-418.00376077
277.6810932385426,-418.01114229
279.40224384382066,-418.01810332
281.1305073152493,-418.02454975
282.8658688343575,-418.03045887
284.6083728565587,-418.03579706
286.35800456338166,-418.04079208
288.1147935917687,-418.04522735
289.87875476019104,-418.04924817
291.6499028871198,-418.05290315
293.42825279102607,-418.05596136
295.2138192903811,-418.05864549
297.0066172036558,-418.06088832
298.8066465308505,-418.06266938
300.6139369089073,-418.06405255
302.4285031562974,-418.06508066
304.25036009149187,-418.06568949
306.0795077144908,-418.06589539
307.9159904807076,-418.06574096
309.7597935716712,-418.06512584
311.6109318058526,-418.06406608
313.46944963866525,-418.06261835
315.3353322516382,-418.06087227
317.20860928171356,-418.05874246
319.0892807288913,-418.05625635
320.97739104858505,-418.05346439
322.87291060385235,-418.05030207
324.77589866857784,-418.04687351
326.6863404242904,-418.04296596
328.60425068946114,-418.0389236
330.52965910103245,-418.03444509
332.4625804774753,-418.02963184
334.40301481878987,-418.02451911
336.35099176191835,-418.01903202
338.3065113068607,-418.01326631
340.2696030905593,-418.00723964
342.24028193148536,-418.00086627
344.2185330111676,-417.99424452
346.2044156034906,-417.9874281
348.1979000715122,-417.98019648
350.19903087064574,-417.97277254
352.2078228193624,-417.9651628
354.22427591766206,-417.9571567
356.2484049840161,-417.94885943
358.28023965536664,-417.94035108
360.31977993171375,-417.9315669
362.36704063152854,-417.92258692
364.42205139175337,-417.91329022
366.4848122123882,-417.90385556
