Volume,Energy
205.59758872506242,-278.4904192
206.92975446272604,-278.5034234
208.26765494872362,-278.51604358
209.6113050015263,-278.5282362
210.96073425807637,-278.53997703
212.31594271837392,-278.55116267
213.67693038241885,-278.56200298
215.04374170562465,-278.57233653
216.416347051049,-278.58234362
217.79479087410533,-278.59189592
219.17907317479367,-278.60107433
220.56922359005634,-278.60965406
221.96522730142215,-278.61799664
223.36709912736225,-278.6258403
224.77486870481894,-278.63340287
226.18855085226338,-278.64059646
227.60814556969552,-278.64737702
229.03365285711547,-278.65379806
230.46511716993655,-278.65989613
231.90252368968768,-278.6656005
233.34588723483998,-278.67109985
234.79523744233575,-278.67619922
236.25057431217502,-278.68081314
237.7119126628289,-278.68518012
239.17926731276856,-278.68914783
240.65265308046511,-278.69282301
242.13206996591862,-278.69614348
243.61753278760017,-278.69919484
245.10907118245206,-278.70193233
246.60668515047433,-278.70444495
248.11037469166695,-278.70656717
249.62016944297224,-278.70843399
251.13606940439016,-278.71002427
252.65810421286307,-278.71132078
254.18627386839088,-278.71223559
255.7205931894448,-278.71297104
257.26107699449597,-278.71337531
258.8077401020155,-278.71361132
260.3605825120034,-278.71351519
261.9196190429309,-278.7132802
263.4848645132691,-278.71264176
265.0563485599602,-278.7118219
266.6340563645332,-278.71073866
268.2180175639303,-278.7094629
269.8082469766226,-278.70780145
271.40472978413914,-278.70599041
273.0075104418932,-278.70401482
274.61658894988483,-278.70177607
276.2319801265852,-278.6992455
277.85368397199426,-278.69647172
279.4817301230543,-278.69365998
281.1161333982365,-278.69064017
282.7568789790697,-278.68719841
284.4039965024963,-278.68365587
286.05751560545843,-278.67991957
287.717421469485,-278.67598682
289.38372891304715,-278.67179471
291.0564675730872,-278.66749233
292.73562263113405,-278.6629714
294.42123854260103,-278.65821253
296.1133153074882,-278.653232
297.81185292579556,-278.64810617
299.5168810344654,-278.64289377
301.22839963349776,-278.6374648
302.9464383598349,-278.63187669
304.6709823950056,-278.62613697
306.40206137595226,-278.62018359
308.13969012114603,-278.61410117
309.8838686305868,-278.60779026
