Volume,Energy
119.43459540200652,-278.39004855
120.20847523919875,-278.40529128
120.98567441392795,-278.42020626
121.76622256313642,-278.43450815
122.55011968682416,-278.44831853
123.33738060346232,-278.4617826
124.12800531305089,-278.47472265
124.92199381558989,-278.48727439
126.52013629187488,-278.51074736
127.32427544714972,-278.52190627
128.13183766925957,-278.53267956
128.94279332126212,-278.54287541
129.75715722162852,-278.55265305
130.57495900730112,-278.56195018
131.3961838598087,-278.57100882
132.22084659762243,-278.57961918
133.0489472207423,-278.58798503
133.8805005476395,-278.5956715
134.715506578314,-278.6031094
135.55398013123693,-278.61013088
136.39593602487946,-278.61679894
137.24135944077045,-278.62304894
138.09028001585216,-278.62891542
138.94268293165348,-278.63457131
139.79858300664554,-278.6397651
140.65800987777067,-278.64461424
141.5209339080865,-278.64916997
142.38738473453537,-278.65344318
143.2573623571173,-278.65738646
144.13088159430342,-278.66101028
145.0079424460937,-278.6642845
146.77273344890028,-278.67002909
147.66046359991657,-278.67235394
148.55177982095046,-278.67439976
149.44666729353088,-278.67603625
150.34514083612888,-278.67738672
151.24720044874454,-278.67848563
152.1528757683201,-278.67934723
153.06215197638443,-278.67991612
153.9750438914087,-278.6802469
154.891566331864,-278.68040131
155.81170447927926,-278.6802233
156.73548797059672,-278.6797105
157.6629168058164,-278.67907464
158.5939909849383,-278.67828154
159.52872532643354,-278.67701061
160.4671346487733,-278.6755045
161.40920413348647,-278.67374295
162.35496341751525,-278.67178858
163.30439768238853,-278.66966601
164.2575365650486,-278.66745969
165.21438006549553,-278.66489542
166.17492818372924,-278.6622085
167.13918091974975,-278.65915855
168.10716791049936,-278.65594117
169.07888915597806,-278.65250803
170.05434465618586,-278.64876466
171.03353441112276,-278.64497814
172.01648805773107,-278.64081158
173.00319077753963,-278.63664719
173.9936722074907,-278.63211811
174.98791752911316,-278.62748339
175.9859415608782,-278.62273586
176.9877591212569,-278.61782236
177.99337021024925,-278.61269417
179.00277482785538,-278.60723639
180.0160026110174,-278.60174292
