Volume,Energy
119.43459540200652,-275.52077044
120.20847523919875,-275.53873547
120.98567441392795,-275.55624438
121.76622256313642,-275.5731926
122.55011968682416,-275.58963182
123.33738060346232,-275.60558764
124.12800531305089,-275.62102124
124.92199381558989,-275.63600542
125.71937574802159,-275.65048758
126.52013629187488,-275.6644873
127.32427544714972,-275.67805012
128.13183766925957,-275.69114646
128.94279332126212,-275.70378096
129.75715722162852,-275.71594681
130.57495900730112,-275.72768909
131.3961838598087,-275.73902204
132.22084659762243,-275.7499171
133.0489472207423,-275.76042469
133.8805005476395,-275.77045895
134.715506578314,-275.78013205
135.55398013123693,-275.78941189
136.39593602487946,-275.79827875
137.24135944077045,-275.80675444
138.09028001585216,-275.81484048
138.94268293165348,-275.82257523
139.79858300664554,-275.82991927
140.65800987777067,-275.83690592
141.5209339080865,-275.84354463
142.38738473453537,-275.84981664
143.2573623571173,-275.85575371
144.13088159430342,-275.86133841
145.0079424460937,-275.86659351
145.88855973095932,-275.8714981
146.77273344890028,-275.87609447
147.66046359991657,-275.88038729
148.55177982095046,-275.88432605
149.44666729353088,-275.88796076
150.34514083612888,-275.89126964
151.24720044874454,-275.8943023
152.1528757683201,-275.89703241
153.06215197638443,-275.89946796
153.9750438914087,-275.90164326
154.891566331864,-275.90353128
155.81170447927926,-275.90512137
156.73548797059672,-275.90642106
157.6629168058164,-275.9074706
158.5939909849383,-275.9082548
159.52872532643354,-275.90874418
160.4671346487733,-275.90899915
161.40920413348647,-275.90899056
162.35496341751525,-275.90871266
163.30439768238853,-275.90820161
164.2575365650486,-275.90747061
165.21438006549553,-275.90648533
166.17492818372924,-275.90530622
167.13918091974975,-275.90383429
168.10716791049936,-275.9021726
169.07888915597806,-275.90027053
170.05434465618586,-275.89811721
171.03353441112276,-275.89578604
172.01648805773107,-275.89321019
173.00319077753963,-275.89045898
173.9936722074907,-275.8874641
174.98791752911316,-275.88426029
175.9859415608782,-275.88090034
176.9877591212569,-275.87730994
177.99337021024925,-275.87352967
179.00277482785538,-275.86954978
180.0160026110174,-275.86539002
