Volume,Energy
205.59758872506242,-275.99727779
207.59797860063858,-276.00048431
209.6113050015263,-276.00353487
211.63761238313893,-276.00637197
213.67693038241885,-276.00888901
215.72931827325058,-276.01123446
217.79479087410533,-276.01339325
219.8734222773388,-276.01525125
221.96522730142215,-276.0168859
224.07025040176882,-276.01830107
226.18855085226338,-276.01960883
228.32015828984814,-276.02068126
230.46511716993655,-276.02161733
232.6234571294709,-276.02232732
234.79523744233575,-276.02306129
236.9805025639446,-276.02341403
239.17926731276856,-276.02366515
241.39160578116335,-276.0237354
243.61753278760017,-276.02371963
245.85710760596353,-276.02358254
248.11037469166695,-276.02328269
250.3773636816527,-276.02287476
252.65810421286307,-276.02235959
254.95267037765376,-276.02168463
257.26107699449597,-276.02090424
259.58338333727426,-276.02011259
261.9196190429309,-276.01914714
264.2698285668794,-276.01803388
266.6340563645332,-276.01688754
269.01234689130564,-276.01568003
271.40472978413914,-276.01437409
273.8112643169182,-276.01306466
276.2319801265852,-276.01148845
278.66692166855347,-276.01003598
281.1161333982365,-276.00854735
283.57964495257664,-276.00684351
286.05751560545843,-276.00510949
288.5497749938241,-276.00345221
291.0564675730872,-276.00158966
293.57762298019003,-275.9996819
296.1133153074882,-275.99772976
298.663559373453,-275.99588625
301.22839963349776,-275.99383547
303.8078953615071,-275.99179805
306.40206137595226,-275.98968724
309.01095695071774,-275.98760099
311.634626541217,-275.98549006
