Volume,Energy
245.51619385875068,-413.92024256
247.8972554396277,-413.92549754
250.2936689566132,-413.93030409
252.7054788651207,-413.93477309
255.13272962056357,-413.93890908
257.57548049682646,-413.94271211
260.0337611308516,-413.94613918
262.5076307965236,-413.9492822
264.99716358619827,-413.9521457
267.50235949987547,-413.95467646
270.0233074483822,-413.95697939
272.56005188713186,-413.95903822
275.11262245306676,-413.96079619
277.6810932385426,-413.96228161
280.2654938805017,-413.96359106
282.8658688343575,-413.96467754
285.48229219246576,-413.96557293
288.1147935917687,-413.96624774
290.763432306151,-413.96674493
293.42825279102607,-413.96695714
296.1093143202785,-413.96703793
298.8066465308505,-413.96698483
301.5203086966268,-413.96675936
304.25036009149187,-413.96638724
306.9968303523881,-413.9657879
309.7597935716712,-413.96511215
312.53927938628334,-413.96429076
315.3353322516382,-413.96339449
318.14802626009134,-413.962329
320.97739104858505,-413.961118
323.8234710725328,-413.95977462
326.6863404242904,-413.95834602
329.5660287408001,-413.95688984
332.4625804774753,-413.95530741
335.3760697266718,-413.95362765
338.3065113068607,-413.95180896
341.2539941288689,-413.94994543
344.2185330111676,-413.94800508
347.2002020461124,-413.94597224
350.19903087064574,-413.9439272
353.21509357712324,-413.94179965
356.2484049840161,-413.93967026
359.29903918368007,-413.93741618
362.36704063152854,-413.93508491
365.4524686014462,-413.93276669
368.55533791190413,-413.93061001
