Volume,Energy
729.0,-19.07185948
733.8708079999999,-19.07711721
738.7632640000003,-19.08222663
743.6774160000001,-19.08719015
748.6133120000001,-19.09200996
753.5709999999999,-19.09668841
758.5505280000002,-19.10122794
763.5519440000002,-19.1056304
768.575296,-19.10989822
773.6206319999999,-19.11403364
778.6880000000002,-19.11803858
783.7774480000002,-19.12191529
788.8890240000001,-19.12566586
794.0227759999999,-19.12929237
799.1787519999998,-19.13279673
804.3570000000002,-19.13618103
809.5575680000001,-19.13944724
814.780504,-19.14259733
820.0258559999999,-19.14563311
825.2936720000002,-19.14855671
830.5840000000001,-19.15136973
835.896888,-19.15407403
841.2323839999999,-19.15667154
846.5905360000003,-19.15916405
851.9713920000002,-19.16155329
857.375,-19.16384103
862.8014079999999,-19.16602906
868.2506640000003,-19.16811897
873.7228160000001,-19.17011239
879.2179120000001,-19.17201106
884.7359999999999,-19.17381663
890.2771280000003,-19.17553067
895.8413440000002,-19.17715482
901.4286960000001,-19.17869077
907.039232,-19.18013977
912.6730000000003,-19.18150345
918.3300480000001,-19.18278345
924.0104240000001,-19.18398109
929.714176,-19.1850979
935.4413519999998,-19.18613554
941.1920000000002,-19.18709504
946.966168,-19.18797795
952.7639039999999,-19.18878579
958.5852559999998,-19.1895199
964.4302720000002,-19.19018149
970.2990000000001,-19.19077203
976.1914879999999,-19.19129277
982.1077839999998,-19.19174505
988.0479360000003,-19.19213013
994.0119920000001,-19.19244934
1000.0,-19.1927038
1006.0120079999999,-19.19289483
1012.0480640000003,-19.19302375
1018.1082160000002,-19.19309151
1024.192512,-19.1930994
1030.301,-19.19304869
1036.4337280000002,-19.19294038
1042.590744,-19.19277565
1048.7720960000001,-19.19255575
1054.9778319999998,-19.19228159
1061.2080000000003,-19.19195433
1067.4626480000002,-19.19157514
1073.7418240000002,-19.19114496
1080.045576,-19.1906649
1086.3739519999997,-19.19013601
1092.7270000000003,-19.18955923
1099.1047680000001,-19.1889356
1105.507304,-19.18826621
1111.934656,-19.18755189
1118.3868720000003,-19.18679367
1124.864,-19.18599258
1131.366088,-19.18514941
1137.8931839999998,-19.18426511
1144.4453360000002,-19.18334063
1151.022592,-19.18237689
1157.625,-19.18137476
1164.2526079999998,-19.18033517
1170.9054640000004,-19.17925888
1177.5836160000001,-19.17814676
1184.287112,-19.17699976
1191.0159999999998,-19.17581854
1197.7703280000003,-19.17460399
1204.5501440000003,-19.17335699
1211.3554960000001,-19.17207819
1218.186432,-19.17076841
1225.0430000000003,-19.16942848
1231.9252480000002,-19.16805908
1238.833224,-19.16666097
1245.7669759999999,-19.16523502
1252.7265519999999,-19.16378173
1259.7120000000002,-19.16230189
1266.7233680000002,-19.16079631
1273.760704,-19.15926551
1280.8240559999997,-19.15771029
1287.9134720000002,-19.15613135
1295.0290000000002,-19.15452917
1302.170688,-19.15290451
1309.3385839999999,-19.15125802
1316.5327360000003,-19.14959033
1323.7531920000001,-19.14790205
1331.0,-19.14619375
