Volume,Energy
108.02665466320666,-19.07185948
108.74843394132299,-19.07711721
109.47342112207326,-19.08222663
110.20162331832358,-19.08719015
110.93304764294015,-19.09200996
111.66770120878918,-19.09668841
112.40559112873677,-19.10122794
113.146724515649,-19.1056304
113.89110848239214,-19.10989822
114.63875014183222,-19.11403364
115.38965660683552,-19.11803858
116.14383499026812,-19.12191529
116.90129240499611,-19.12566586
117.66203596388573,-19.12929237
118.42607277980308,-19.13279673
119.19340996561448,-19.13618103
119.96405463418581,-19.13944724
120.73801389838334,-19.14259733
121.51529487107331,-19.14563311
122.29590466512178,-19.14855671
123.07985039339485,-19.15136973
123.8671391687588,-19.15407403
124.65777810407964,-19.15667154
125.45177431222366,-19.15916405
126.24913490605695,-19.16155329
127.04986699844558,-19.16384103
127.85397770225578,-19.16602906
128.66147413035384,-19.16811897
129.4723633956056,-19.17011239
130.2866526108774,-19.17201106
131.10434888903538,-19.17381663
131.9254593429458,-19.17553067
132.74999108547456,-19.17715482
133.57795122948792,-19.17869077
134.40934688785214,-19.18013977
135.24418517343327,-19.18150345
136.08247319909742,-19.18278345
136.92421807771083,-19.18398109
137.7694269221396,-19.1850979
138.61810684524983,-19.18613554
139.47026495990784,-19.18709504
140.32590837897968,-19.18797795
141.1850442153314,-19.18878579
142.04767958182924,-19.1895199
142.91382159133954,-19.19018149
143.7834773567281,-19.19077203
144.65665399086123,-19.19129277
145.5333586066052,-19.19174505
146.413598316826,-19.19213013
147.29738023438978,-19.19244934
148.18471147216275,-19.1927038
149.07559914301112,-19.19289483
149.97005035980098,-19.19302375
150.8680722353984,-19.19309151
151.76967188266966,-19.1930994
152.6748564144808,-19.19304869
153.58363294369806,-19.19294038
154.4960085831876,-19.19277565
155.41199044581543,-19.19255575
156.33158564444778,-19.19228159
157.254801291951,-19.19195433
158.1816445011909,-19.19157514
159.11212238503379,-19.19114496
160.04624205634582,-19.1906649
160.98401062799323,-19.19013601
161.92543521284205,-19.18955923
162.87052292375841,-19.1889356
163.81928087360856,-19.18826621
164.77171617525855,-19.18755189
165.72783594157468,-19.18679367
166.68764728542297,-19.18599258
167.65115731966955,-19.18514941
168.6183731571806,-19.18426511
169.58930191082248,-19.18334063
170.56395069346098,-19.18237689
171.54232661796243,-19.18137476
172.524436797193,-19.18033517
173.51028834401896,-19.17925888
174.49988837130616,-19.17814676
175.4932439919209,-19.17699976
176.49036231872944,-19.17581854
177.49125046459784,-19.17460399
178.49591554239214,-19.17335699
179.50436466497868,-19.17207819
180.51660494522346,-19.17076841
181.53264349599274,-19.16942848
182.55248743015267,-19.16805908
183.57614386056923,-19.16666097
184.60361990010873,-19.16523502
185.63492266163726,-19.16378173
186.67005925802118,-19.16230189
187.7090368021263,-19.16079631
188.75186240681893,-19.15926551
189.79854318496527,-19.15771029
190.84908624943145,-19.15613135
191.9034987130835,-19.15452917
192.96178768878775,-19.15290451
194.02396028941018,-19.15125802
195.0900236278171,-19.14959033
196.1599848168745,-19.14790205
197.2338509694487,-19.14619375
